用戶行為,區塊,子系統,用戶執行動作,計算條件,事件名稱（中文）,事件名稱（英文）,參數群組,參數,參數事件名稱,觸發點(按鍵/區塊),備註,iOS,Android
,,,,,社團佈置_主題色彩_點擊,GroupArrangement_ThemeColor_clicked,,,,,,FALSE,FALSE
,,,,,社團佈置_相簿_點擊,GroupArrangement_Album_clicked,,,,,,FALSE,FALSE
,,,,,社團佈置_圖庫_點擊,GroupArrangement_Gallery_clicked,,,,,,FALSE,FALSE
,,,,,社團佈置_返回_點擊,GroupArrangement_Return_clicked,,,,,,FALSE,FALSE
,,,,,社團佈置_取消_點擊,GroupArrangement_Cancel_clicked,,,,,,FALSE,FALSE
,,,,,社團佈置_選擇_點擊,GroupArrangement_Select_clicked,,,,,,FALSE,FALSE
,,,,,社團佈置_更換圖片_點擊,GroupArrangement_ChangePicture_clicked,,,,,,FALSE,FALSE
,,,,,社團佈置_儲存_點擊,GroupArrangement_Save_clicked,,,,,,FALSE,FALSE
,,,,,主題色彩_套用_點擊,ThemeColor_Apply_clicked,,,,,,FALSE,FALSE
,,,,,解散社團_點擊,DissolveGroup_clicked,,,,,,FALSE,FALSE
,,,,,解散社團_返回_點擊,DissolveGroup_Return_clicked,,,,,,FALSE,FALSE
,,,,,解散社團_確定解散_點擊,DissolveGroup_ConfirmDissolution_clicked,,,,,,FALSE,FALSE
,,,,,確定解散_返回_點擊,ConfirmDissolution_Return_clicked,,,,,,FALSE,FALSE
,,,,,確定解散_確定解散_點擊,ConfirmDissolution_ConfirmDissolution_clicked,,,,,,FALSE,FALSE
觀看社團設定頁,,,觀看社團設定頁,頁面出現算一次,社團.設定.社團設定.社團名稱_觀看,Group.Settings.GroupSettings.GroupName_viewed,,,,觀看社團設定頁,,TRUE,TRUE
,,,,,社團.設定.社團設定.社團簡介_觀看,Group.Settings.GroupSettings.GroupIntroduction_viewed,,,,,,TRUE,TRUE
,,,,,社團.設定.社團設定.社團圖示_觀看,Group.Settings.GroupSettings.GroupIcon_viewed,,,,,,TRUE,TRUE
,,,,,社團.設定.社團設定.首頁背景_觀看,Group.Settings.GroupSettings.HomeBackground_viewed,,,,,,TRUE,TRUE
,,,,,社團.設定.社團設定.主題色彩_觀看,Group.Settings.GroupSettings.ThemeColor_viewed,,,,,,TRUE,TRUE
點擊社團公開度按鈕,,社團公開度,新增or編輯->社團公開度,用戶點擊按鈕算一次,社團設定_社團公開度_點擊,GroupSettings_GroupOpenness_clicked,,,,新增or編輯->社團公開度,,FALSE,FALSE
